word,form,sentence,paraphrase
чиллить,чиллит,"Когда подросток чиллит, он попросту бездельничает и ни о чем серьезном не думает, не берет ничего в голову: отличная практика, о которой многие взрослые почему-то забывают.","Когда подросток отдыхает, он попросту бездельничает и ни о чем серьезном не думает, не берет ничего в голову: отличная практика, о которой многие взрослые почему-то забывают."
лайкаться,"лайкаются, чекинятся, айфоно","Не современного новояза десятых, с его айфоно-смс-ным жаргоном, где не фотографируются, а ""фоткаются"", не радуются жизни, а ""лайкаются"", не встречаются, а ""чекинятся"", не живут, а… Якунин же не чекинится в Кремле.","Не современного новояза десятых, с его телефоно-смс-ным жаргоном, где не фотографируются, а ""фоткаются"", не радуются жизни, а ""ставят отметки ""мне нравится"""", не встречаются, а ""отмечаются"", не живут, а… Якунин же не отмечается в Кремле."
чекиниться,"лайкаются, чекинятся, айфоно","Не современного новояза десятых, с его айфоно-смс-ным жаргоном, где не фотографируются, а ""фоткаются"", не радуются жизни, а ""лайкаются"", не встречаются, а ""чекинятся"", не живут, а… Якунин же не чекинится в Кремле.","Не современного новояза десятых, с его телефоно-смс-ным жаргоном, где не фотографируются, а ""фоткаются"", не радуются жизни, а ""ставят отметки ""мне нравится"""", не встречаются, а ""отмечаются"", не живут, а… Якунин же не отмечается в Кремле."
айфон,"лайкаются, чекинятся, айфоно","Не современного новояза десятых, с его айфоно-смс-ным жаргоном, где не фотографируются, а ""фоткаются"", не радуются жизни, а ""лайкаются"", не встречаются, а ""чекинятся"", не живут, а… Якунин же не чекинится в Кремле.","Не современного новояза десятых, с его телефоно-смс-ным жаргоном, где не фотографируются, а ""фоткаются"", не радуются жизни, а ""ставят отметки ""мне нравится"""", не встречаются, а ""отмечаются"", не живут, а… Якунин же не отмечается в Кремле."
зачекиниться,зачекинилась,"""Не начинай есть, я ещё не зачекинилась!!!""","""Не начинай есть, я ещё не отметилась!!!"""
чекиниться,чекинься,"""Не чекинься! Не хочу, чтобы другие знали, где мы сидим"".","""Не отмечайся! Не хочу, чтобы другие знали, где мы сидим""."
юзер,"юзер, логиниться","И, если Вы юзер, то прошу логиниться, так как в обычных случаях на анонимные комментарии не отвечаю.","И, если Вы пользователь, то прошу заходить на свою страницу, так как в обычных случаях на анонимные комментарии не отвечаю."
логиниться,"юзер, логиниться","И, если Вы юзер, то прошу логиниться, так как в обычных случаях на анонимные комментарии не отвечаю.","И, если Вы пользователь, то прошу заходить на свою страницу, так как в обычных случаях на анонимные комментарии не отвечаю."
хейт,хейт,"Возможно, они могут вызвать резонанс и заставить кого-то неизвестного писать хейт в комментариях под твоими видео.","Возможно, они могут вызвать резонанс и заставить кого-то неизвестного писать ненависть в комментариях под твоими видео."
хейт,хейт,"У меня для вас плохие новости, если вы начнёте активно продвигать себя как хореографа в социуме, вы 100% нарвётесь на хейт.","У меня для вас плохие новости, если вы начнёте активно продвигать себя как хореографа в социуме, вы 100% нарвётесь на ненависть."
хейт,хейт,"Но чтобы осознать эту ситуацию и не поверить в хейт, который на тебя льётся, надо затвердить, что вся правда находится в тебе самой и в тех людях, которые по-настоящему желают тебе добра.","Но чтобы осознать эту ситуацию и не поверить в ненависть, которая на тебя льётся, надо затвердить, что вся правда находится в тебе самой и в тех людях, которые по-настоящему желают тебе добра."
хейт,хейта,"Когда я начала открыто писать в ""Инстаграме"" о том, что у моего ребенка инвалидность, я столкнулась с огромной волной хейта от подписчиков.","Когда я начала открыто писать в ""Инстаграме"" о том, что у моего ребенка инвалидность, я столкнулась с огромной волной ненависти от подписчиков."
хейтер,хейтеров,"У каждого успешного блогера полно хейтеров, это нормально.","У каждого успешного ведущего свою страницу в сети полно недоброжелателей, это нормально."
хейтить,Хейтить,"Хейтить, публично унижать, оскорблять, дискредитировать.","Ненавидеть, публично унижать, оскорблять, дискредитировать."
хейтить,хейтят,"В нашем классе есть девочки, которые меня хейтят.","В нашем классе есть девочки, которые меня не любят."
буллинг,буллинга,"Так вот, в одном крохотном местечке, говоря языком департамента образования, наблюдаются акты буллинга в школе, намеренной жестокости.","Так вот, в одном крохотном местечке, говоря языком департамента образования, наблюдаются акты травли в школе, намеренной жестокости."
буллинг,буллинга,"К сожалению, проиллюстрируем наши слова случаем буллинга, где подстрекателем стал классный руководитель.","К сожалению, проиллюстрируем наши слова случаем травли, где подстрекателем стал классный руководитель."
буллинг,буллингу,"Дела по обвинению тех, кто попустительствует буллингу и не принимает должных мер по его предотвращению, разбирают в суде.","Дела по обвинению тех, кто попустительствует травле и не принимает должных мер по его предотвращению, разбирают в суде."
буллинг,буллинга,"Российские да и зарубежные исследователи признаются, что проблема буллинга не изучена и пока никто не может дать общих для всех рекомендаций, как его искоренить.","Российские да и зарубежные исследователи признаются, что проблема травли не изучена и пока никто не может дать общих для всех рекомендаций, как его искоренить."
буллинг,буллинг,"Кстати, буллинг чаще наблюдается в крупных городских школах.","Кстати, травля чаще наблюдается в крупных городских школах."
буллить,буллил,"Кто же тогда буллил всех остальных, если всего 4% в этом признаются?","Кто же тогда травил всех остальных, если всего 4% в этом признаются?"
буллить,буллить,"Может хватит его буллить за те дурацкие усы, что он отращивал месяц","Может хватит его травить за те дурацкие усы, что он отращивал месяц"
зашеймить,Зашеймить,Зашеймить этого хулигана - единственное решение.,Застыдить этого хулигана - единственное решение.
зашеймить,зашеймили,"Зря она призналась, что била свою дочь, – ее никто не понял, и все, наоборот, ее зашеймили.","Зря она призналась, что била свою дочь, – ее никто не понял, и все, наоборот, ее застыдили."
токсик,токсик маскулинити,На ваших экранах сейчас вы видите пример токсик маскулинити.,На ваших экранах сейчас вы видите пример токсчиной мужественности.
маскулинити,токсик маскулинити,На ваших экранах сейчас вы видите пример токсик маскулинити.,На ваших экранах сейчас вы видите пример токсчиной мужественности.
парадайз,парадайз,"Хелиот - это скандинавский воин, попавший в парадайз.","Хелиот - это скандинавский воин, попавший в рай."
парадайз,парадайз,"Слыш, Славик, да после этой таблетки ты в такой парадайз попадешь, отвечаю.","Слыш, Славик, да после этой таблетки ты в такой рай попадешь, отвечаю."
хенд мейд,Хенд мейд,"Хенд мейд идеи, которые вы воплотили в жизнь шитье, рисование, вышивание, вязание, плетение и многое другое.","Рукодельные идеи, которые вы воплотили в жизнь шитье, рисование, вышивание, вязание, плетение и многое другое."
хенд-мейд,хенд-мейда,В каждой стране существуют свои традиции хенд-мейда и национальные предпочтения.,В каждой стране существуют свои традиции рукоделия и национальные предпочтения.
фэшн,фэшн,"Коллекция поступит в продажу зимой, в преддверии наступления весенне-летнего фэшн-сезона.","Коллекция поступит в продажу зимой, в преддверии наступления весенне-летнего сезона моды."
фэшн,фэшн,"""У нас нет ни зайчиков, ни мишек, у нас одежда а-ля взрослая, только для маленьких, и по цветам она соответствует последним мировым фэшн-тенденциям"", рассказывает Анастасия Василькова.","""У нас нет ни зайчиков, ни мишек, у нас одежда а-ля взрослая, только для маленьких, и по цветам она соответствует последним мировым тенденциям моды"", рассказывает Анастасия Василькова."
фаст-фэшн,фаст-фэшн,"Кстати, переключение интереса потребителей на базовые вещи, по оценкам экспертов, стало одной из причин сокращения покупок в экономсегменте, ориентированном на фаст-фэшн.","Кстати, переключение интереса потребителей на базовые вещи, по оценкам экспертов, стало одной из причин сокращения покупок в экономсегменте, ориентированном на быструю моду."
фэшен,фэшен,"С ней происходит бог знает что, и даже немногочисленные русские фэшен-критики махнули на нее рукой, перестав ходить на размножившиеся и совершенно бессмысленные русские недели моды.","С ней происходит бог знает что, и даже немногочисленные русские модные критики махнули на нее рукой, перестав ходить на размножившиеся и совершенно бессмысленные русские недели моды."
фэшн-блогеры,фэшн-блогеров,"Он начинает специальную программу, участниками которой были выбраны пять, по мнению производителя, самых влиятельных фэшн-блогеров.","Он начинает специальную программу, участниками которой были выбраны пять, по мнению производителя, самых влиятельных модных обозревателей."
фэшн,"фэшн-блогинг, блогеров",У каждого из этих пяти блогеров свой стиль изложения и своя ниша в фэшн-блогинге.,У каждого из этих пяти ведущих свою страничку в сети свой стиль изложения и своя ниша в обозревании моды.
блогер,"фэшн-блогинг, блогеров",У каждого из этих пяти блогеров свой стиль изложения и своя ниша в фэшн-блогинге.,У каждого из этих пяти ведущих свою страничку в сети свой стиль изложения и своя ниша в обозревании моды.
мерч,мерч,А компании-спонсоры различных конкурсов обычно предлагают мерч в качестве приза.,А компании-спонсоры различных конкурсов обычно предлагают рекламно-сувенирная продукция в качестве приза.
фидбэк,фидбэк,"И ты сразу видишь фидбэк потому что много людей-идиотов вокруг, они просто не хотят себя палить до поры до времени.","И ты сразу видишь обратную связь потому что много людей-идиотов вокруг, они просто не хотят себя палить до поры до времени."
фидбек,фидбэка,"Особенно в самом начале войны, когда уже прошла первая волна заголовков (""мир предупредил орков""), а нормального фидбэка еще нет.","Особенно в самом начале войны, когда уже прошла первая волна заголовков (""мир предупредил орков""), а нормальной обратной связи еще нет."
фидбэк,фидбэк,"Каждому преподавателю необходимо получать регулярный фидбэк от своих студентов, чтобы иметь представление, насколько хорошо они усвоили материал.","Каждому преподавателю необходимо получать регулярную обратную связь от своих студентов, чтобы иметь представление, насколько хорошо они усвоили материал."
лакшери,лакшери,"Он привел ее в лакшери отель явно не для того, чтобы просто мило побеседовать.","Он привел ее в престижный отель явно не для того, чтобы просто мило побеседовать."
флэшбэк,Флэшбэк,Флэшбэк. Май 1946 года. Видения вернулись к Яркову.,Воспоминание. Май 1946 года. Видения вернулись к Яркову.
флэшбэк,флэшбэка,"Дело доходит до смешного: чтобы избежать лишнего флэшбэка, Бортко делает первой не сцену в поезде, а сцену сговора генерала Епанчина с Тоцким, так как она предшествовала во времени!","Дело доходит до смешного: чтобы избежать лишних воспоминаний, Бортко делает первой не сцену в поезде, а сцену сговора генерала Епанчина с Тоцким, так как она предшествовала во времени!"
флэшбэк,флэшбэков,"Всего наплывов и флэшбэков я насчитал в фильме шесть на десять серий: встреча Мышкина с Рогожиным в вагоне, два воспоминания Мышкина о Швейцарии, сцена казни, совращение Настасьи Филипповны и Аглая на скамейке.","Всего наплывов и воспоминаний я насчитал в фильме шесть на десять серий: встреча Мышкина с Рогожиным в вагоне, два воспоминания Мышкина о Швейцарии, сцена казни, совращение Настасьи Филипповны и Аглая на скамейке."
дроп,дроп,"Ребят, скоро будет дроп моей новой песни, так что залетайте и слушайте.","Ребят, скоро будет премьера моей новой песни, так что залетайте и слушайте."
дропнуть,дропнули,Брелоки и скейты только что дропнули Hermes.,Брелоки и скейты только что выпустили Hermes.
айди,айди,"Сань, скинь мне свой айди, добавлю тебя в конфу нашу.","Сань, скинь мне свой идентификационный номер, добавлю тебя в конфу нашу."
айдишник,"айдишники, чат","(Для тех, кто хочет попасть к нам в игру, присылайте свои айдишники в чат)","(Для тех, кто хочет попасть к нам в игру, присылайте свои идентификационные номера в беседу)"
чат,"айдишники, чат","(Для тех, кто хочет попасть к нам в игру, присылайте свои айдишники в чат)","(Для тех, кто хочет попасть к нам в игру, присылайте свои идентификационные номера в беседу)"
мейнстрим,мейнстрим,Предыдущие четыре этапа мейнстрим биатлонного Кубка мира у женщин понимал и начинающий болельщик.,Предыдущие четыре этапа преобладающие тенденции биатлонного Кубка мира у женщин понимал и начинающий болельщик.
мейнстрим,мейнстримом,Очень долгое время мейнстримом в журналистике был негатив.,Очень долгое время преобладающей тенденцией в журналистике был негатив.
мейнстрим,мейнстрима,"Это не просто ещё один способ самопомощи, а серьёзная научная разработка, которая стала важной частью мейнстрима современных психиатрических исследований и практики.","Это не просто ещё один способ самопомощи, а серьёзная научная разработка, которая стала важной частью наиболее популярных направлений современных психиатрических исследований и практики."
мейнстрим,мейнстрима,"Пока сторонники западного экономического мейнстрима могут реалистично оценивать собственные теории, как некоторые китайские экономисты могут так слепо им верить","Пока сторонники западных наиболее преобладающих экономических направлений могут реалистично оценивать собственные теории, как некоторые китайские экономисты могут так слепо им верить"
респект,респект,От мелодиста респект очень круто.,От мелодиста знак уважения очень круто.
респект,респект,Вам респект и уважуха за такое славное начинание.,Вам почёт и уважуха за такое славное начинание.
респект,"респект, тренинге","Хочу выразить свой респект ведущему, был на тренинге по риторике, не новичок в этой теме, но открыл много нового.","Хочу выразить свое уважение ведущему, был на занятии по риторике, не новичок в этой теме, но открыл много нового."
тренинг,"респект, тренинге","Хочу выразить свой респект ведущему, был на тренинге по риторике, не новичок в этой теме, но открыл много нового.","Хочу выразить свое уважение ведущему, был на занятии по риторике, не новичок в этой теме, но открыл много нового."
респект,респект,А за голевой слалом в поединке против шведов Олегу отдельный респект.,А за голевой слалом в поединке против шведов Олегу отдельный почёт.
респект,респект,"Так что, как говорится, респект их упорству и инженерному потенциалу.","Так что, как говорится, уважение их упорству и инженерному потенциалу."
